step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
107,7.133,B,26.964,3.572,53.4,-14.1,27.483,-1.381,5.823,1.000,1.000,5.288
108,7.200,A,22.390,0.733,15.0,-7.5,22.547,0.201,5.253,1.000,1.000,-5.098
108,7.200,B,27.149,3.915,56.5,-20.0,27.645,-1.457,5.821,1.000,1.000,5.098
109,7.267,A,22.715,0.870,17.7,-13.8,22.930,0.189,5.252,1.000,1.000,-5.097
109,7.267,B,27.315,4.269,59.7,-16.8,28.027,-1.535,5.818,1.000,1.000,5.097
110,7.333,A,23.032,1.025,20.6,-10.9,23.280,0.156,5.253,1.000,1.000,-5.132
110,7.333,B,27.461,4.631,62.9,-13.6,28.413,-1.593,5.816,1.000,1.000,5.132
111,7.400,A,23.339,1.197,23.6,-7.9,23.633,0.142,5.254,1.000,1.000,-4.910
111,7.400,B,27.587,5.000,66.0,-19.5,28.542,-1.660,5.814,1.000,1.000,4.910
112,7.467,A,23.637,1.388,26.8,-13.7,24.007,0.112,5.257,1.000,1.000,-4.919
112,7.467,B,27.692,5.375,69.2,-16.3,28.925,-1.735,5.812,1.000,1.000,4.919
113,7.533,A,23.923,1.595,30.0,-10.5,24.359,0.084,5.261,1.000,1.000,-4.952
113,7.533,B,27.775,5.756,72.4,-13.1,29.311,-1.789,5.810,1.000,1.000,4.952
114,7.600,A,24.197,1.819,33.2,-16.3,24.724,0.075,5.265,1.000,1.000,-4.831
114,7.600,B,27.838,6.141,75.6,-14.4,29.556,-1.838,5.808,1.000,1.000,4.831
115,7.667,A,24.457,2.059,36.5,-13.0,25.076,0.033,5.269,1.000,1.000,-4.867
115,7.667,B,27.879,6.528,78.8,-11.2,29.943,-1.879,5.806,1.000,1.000,4.867
116,7.733,A,24.703,2.314,39.9,-9.6,25.430,0.012,5.274,1.000,1.000,-4.902
116,7.733,B,27.898,6.917,82.0,-8.0,30.332,-1.898,5.804,1.000,1.000,4.902
117,7.800,A,24.933,2.584,43.3,-15.2,25.785,-0.009,5.280,1.000,1.000,-4.937
117,7.800,B,27.895,7.307,85.2,-4.8,30.722,-1.895,5.803,1.000,1.000,4.937
118,7.867,A,25.147,2.868,46.7,-11.8,26.139,-0.044,5.286,1.000,1.000,-4.971
118,7.867,B,27.871,7.695,88.4,-1.6,31.110,-1.871,5.801,1.000,1.000,4.971
119,7.933,A,25.344,3.164,50.1,-8.4,26.494,-0.057,5.292,1.000,1.000,-5.002
119,7.933,B,27.825,8.082,91.6,1.6,31.497,-1.825,5.799,1.000,1.000,5.002
120,8.000,A,25.523,3.472,53.6,-13.9,26.840,-0.088,5.298,1.000,1.000,-5.040
